Rank,County,Region,Black population,% of county,Cumulative,Cumulative % of state
88,"Jones","FW/Denton/Panhandle",2055,10.3%,3461055,98.1%
89,"Caldwell","Central Texas/Austin",1914,4.1%,3462969,98.1%
90,"Red River","Dallas/Collin/NE",1903,16.4%,3464872,98.2%
91,"Cameron","El Paso/Border/RGV",1872,0.4%,3466744,98.2%
92,"Bee","San Antonio/Corpus",1852,6.0%,3468596,98.3%
93,"Wood","Dallas/Collin/NE",1844,4.0%,3470440,98.4%
94,"Lee","Central Texas/Austin",1841,10.4%,3472281,98.4%
95,"Camp","Dallas/Collin/NE",1786,14.1%,3474067,98.5%
96,"San Augustine","Houston/Gulf/East",1746,22.1%,3475813,98.5%
97,"Van Zandt","Dallas/Collin/NE",1667,2.7%,3477480,98.6%
98,"Howard","FW/Denton/Panhandle",1615,4.9%,3479095,98.6%
99,"Medina","San Antonio/Corpus",1471,2.8%,3480566,98.6%
100,"DeWitt","San Antonio/Corpus",1452,7.3%,3482018,98.7%
101,"Fayette","Central Texas/Austin",1431,5.8%,3483449,98.7%
102,"Cooke","FW/Denton/Panhandle",1411,3.3%,3484860,98.8%
103,"Hale","FW/Denton/Panhandle",1297,4.0%,3486157,98.8%
104,"Brown","San Antonio/Corpus",1235,3.2%,3487392,98.8%
105,"Trinity","Houston/Gulf/East",1202,8.7%,3488594,98.9%
106,"Gonzales","San Antonio/Corpus",1187,6.0%,3489781,98.9%
107,"Leon","Central Texas/Austin",1172,7.3%,3490953,98.9%
108,"Karnes","San Antonio/Corpus",1027,6.9%,3491980,99.0%
109,"Wise","FW/Denton/Panhandle",1009,1.4%,3492989,99.0%
110,"San Patricio","San Antonio/Corpus",1000,1.4%,3493989,99.0%
111,"Kleberg","San Antonio/Corpus",995,3.2%,3494984,99.0%
112,"Webb","El Paso/Border/RGV",995,0.4%,3495979,99.1%
113,"Moore","FW/Denton/Panhandle",971,4.6%,3496950,99.1%
114,"Gray","FW/Denton/Panhandle",930,4.4%,3497880,99.1%
115,"Wilson","San Antonio/Corpus",912,1.8%,3498792,99.2%
116,"Jackson","Houston/Gulf/East",894,5.9%,3499686,99.2%
117,"Lampasas","Central Texas/Austin",822,3.7%,3500508,99.2%
118,"Lavaca","San Antonio/Corpus",817,4.0%,3501325,99.2%
119,"Kerr","San Antonio/Corpus",813,1.5%,3502138,99.3%
120,"Dawson","FW/Denton/Panhandle",803,6.5%,3502941,99.3%
121,"Wilbarger","FW/Denton/Panhandle",770,6.1%,3503711,99.3%
122,"Frio","San Antonio/Corpus",749,4.2%,3504460,99.3%
123,"Palo Pinto","FW/Denton/Panhandle",737,2.5%,3505197,99.3%
124,"Hood","FW/Denton/Panhandle",657,1.0%,3505854,99.4%
125,"Burnet","Central Texas/Austin",636,1.2%,3506490,99.4%
126,"Hockley","FW/Denton/Panhandle",611,2.8%,3507101,99.4%
127,"Atascosa","San Antonio/Corpus",601,1.2%,3507702,99.4%
128,"Erath","FW/Denton/Panhandle",595,1.4%,3508297,99.4%
129,"Nolan","FW/Denton/Panhandle",573,3.9%,3508870,99.4%
130,"Val Verde","El Paso/Border/RGV",573,1.2%,3509443,99.5%
131,"Garza","FW/Denton/Panhandle",558,10.3%,3510001,99.5%
132,"Swisher","FW/Denton/Panhandle",544,7.8%,3510545,99.5%
133,"Gaines","FW/Denton/Panhandle",541,2.5%,3511086,99.5%
134,"Ward","FW/Denton/Panhandle",538,4.8%,3511624,99.5%
135,"Franklin","Dallas/Collin/NE",537,5.1%,3512161,99.5%
136,"Pecos","El Paso/Border/RGV",534,3.6%,3512695,99.6%
137,"Mitchell","FW/Denton/Panhandle",509,5.7%,3513204,99.6%
138,"Hutchinson","FW/Denton/Panhandle",486,2.4%,3513690,99.6%
139,"Calhoun","San Antonio/Corpus",467,2.3%,3514157,99.6%
140,"Terry","FW/Denton/Panhandle",461,3.9%,3514618,99.6%
141,"Sabine","Houston/Gulf/East",459,4.6%,3515077,99.6%
142,"Childress","FW/Denton/Panhandle",451,6.7%,3515528,99.6%
143,"Delta","Dallas/Collin/NE",446,8.3%,3515974,99.6%
144,"Scurry","FW/Denton/Panhandle",445,2.7%,3516419,99.7%
145,"Refugio","San Antonio/Corpus",411,6.1%,3516830,99.7%
